| 22%   26C    P8    15W / 250W |   1560MiB / 12287MiB |      0%      Default |
| 22%   26C    P8    15W / 250W |   1560MiB / 12287MiB |      0%      Default |
| 22%   26C    P8    15W / 250W |   1560MiB / 12287MiB |      0%      Default |
| 22%   26C    P8    15W / 250W |   1560MiB / 12287MiB |      0%      Default |
| 22%   26C    P8    15W / 250W |   1560MiB / 12287MiB |      0%      Default |
| 22%   26C    P8    15W / 250W |   1560MiB / 12287MiB |      0%      Default |
| 22%   26C    P8    15W / 250W |   1560MiB / 12287MiB |      0%      Default |
| 22%   26C    P8    15W / 250W |   1560MiB / 12287MiB |      0%      Default |
| 22%   26C    P8    15W / 250W |   1560MiB / 12287MiB |      0%      Default |
| 22%   26C    P8    15W / 250W |   1560MiB / 12287MiB |      0%      Default |
| 22%   26C    P8    15W / 250W |   1560MiB / 12287MiB |      0%      Default |
| 22%   26C    P8    15W / 250W |   1560MiB / 12287MiB |      0%      Default |
| 22%   26C    P8    15W / 250W |   1560MiB / 12287MiB |      0%      Default |
| 22%   26C    P8    15W / 250W |   1560MiB / 12287MiB |      0%      Default |
| 22%   26C    P8    15W / 250W |   1560MiB / 12287MiB |      0%      Default |
| 22%   26C    P8    15W / 250W |   1560MiB / 12287MiB |      0%      Default |
| 22%   26C    P8    15W / 250W |   1560MiB / 12287MiB |      0%      Default |
| 22%   26C    P8    15W / 250W |   1560MiB / 12287MiB |      0%      Default |
| 22%   26C    P8    15W / 250W |   1560MiB / 12287MiB |      0%      Default |
| 22%   26C    P8    15W / 250W |   1560MiB / 12287MiB |      0%      Default |
| 22%   26C    P8    15W / 250W |   1560MiB / 12287MiB |      0%      Default |
| 22%   26C    P8    15W / 250W |   1560MiB / 12287MiB |      0%      Default |
| 22%   26C    P8    15W / 250W |   1560MiB / 12287MiB |      0%      Default |
| 22%   26C    P8    15W / 250W |   1560MiB / 12287MiB |      0%      Default |
| 22%   26C    P8    15W / 250W |   1560MiB / 12287MiB |      0%      Default |
| 22%   26C    P8    15W / 250W |   1560MiB / 12287MiB |      0%      Default |
| 22%   26C    P8    15W / 250W |   1560MiB / 12287MiB |      0%      Default |
| 22%   26C    P8    15W / 250W |   1560MiB / 12287MiB |      0%      Default |
| 22%   26C    P8    15W / 250W |   1560MiB / 12287MiB |      0%      Default |
| 22%   26C    P8    15W / 250W |   1560MiB / 12287MiB |      0%      Default |
