000001,1,2,1590,61,71,184
000001,2,3,1296,0,70,116
000001,5,3,1703,27,159,102
000001,24,2,1695,4,59,131
000002,1,2,1592.7,62.8,71.1,181.7
000002,2,3,1293.4,0,69.5,115.8
000002,24,2,1694.6,3.9,59.3,130.3
000003,1,2,1595.4,64.6,71.2,179.4
000003,2,3,1290.8,0,69,115.6
000003,24,2,1694.2,3.8,59.6,129.6
000004,1,2,1598.1,66.4,71.3,177.1
000004,2,3,1288.2,0,68.5,115.4
000004,24,2,1693.8,3.7,59.9,128.9
000005,1,2,1600.8,68.2,71.4,174.8
000005,2,3,1285.6,0,68,115.2
000005,24,2,1693.4,3.6,60.2,128.2
000006,1,2,1603.5,70,71.5,172.5
000006,2,3,1283,0,67.5,115
000006,24,2,1693,3.5,60.5,127.5
000007,1,2,1606.2,71.8,71.6,170.2
000007,2,3,1280.4,0,67,114.8
000007,24,2,1692.6,3.4,60.8,126.8
000008,1,2,1608.9,73.6,71.7,167.9
000008,2,3,1277.8,0,66.5,114.6
000008,24,2,1692.2,3.3,61.1,126.1
000009,1,2,1611.6,75.4,71.8,165.6
000009,2,3,1275.2,0,66,114.4
000009,24,2,1691.8,3.2,61.4,125.4
000010,1,2,1614.3,77.2,71.9,163.3
000010,2,3,1272.6,0,65.5,114.2
000010,24,2,1691.4,3.1,61.7,124.7
000011,1,2,1617,79,72,161
000011,2,3,1270,0,65,114
000011,24,2,1691,3,62,124
000012,1,2,1620.2,80,72.7,161.6
000012,2,3,1267.3,0.2,64.2,111.1
000012,24,2,1690.99,3.00182,61.9873,124.027
000013,1,2,1623.4,81,73.4,162.2
000013,2,3,1264.6,0.4,63.4,108.2
000013,24,2,1690.97,3.00364,61.9745,124.055
000014,1,2,1626.6,82,74.1,162.8
000014,2,3,1261.9,0.6,62.6,105.3
000014,24,2,1690.96,3.00545,61.9618,124.082
000015,1,2,1629.8,83,74.8,163.4
000015,2,3,1259.2,0.8,61.8,102.4
000015,24,2,1690.94,3.00727,61.9491,124.109
000016,1,2,1633,84,75.5,164
000016,2,3,1256.5,1,61,99.5
000016,24,2,1690.93,3.00909,61.9364,124.136
000017,1,2,1636.2,85,76.2,164.6
000017,2,3,1253.8,1.2,60.2,96.6
000017,24,2,1690.91,3.01091,61.9236,124.164
000018,1,2,1639.4,86,76.9,165.2
